Brand,processor_name,RAM,Storage,Price,original price,discount,ratings,number_of_ratings,number_of_reviews,page number
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,18
Apple,Apple,16,512,151900,,37%,4.7,2786,179,18
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,18
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,18
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,18
HP,AMD,16,512,65387,,37%,4.1,26,1,18
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,18
Apple,Apple,16,512,151900,,37%,4.7,2786,179,18
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,18
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,18
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,18
Apple,Apple,16,512,127900,,37%,4.7,2786,179,18
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,18
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,18
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,18
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,18
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,18
Apple,Apple,16,512,151900,,37%,4.7,2786,179,18
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,19
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,19
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,19
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,19
HP,Intel,16,512,93322,,37%,4.2,1016,45,19
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,19
Apple,Apple,16,512,151900,,37%,4.7,2786,179,19
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,19
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,19
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,19
HP,AMD,16,512,65387,,37%,4.1,26,1,19
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,19
Apple,Apple,16,512,151900,,37%,4.7,2786,179,19
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,19
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,19
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,19
Apple,Apple,16,512,127900,,37%,4.7,2786,179,19
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,19
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,19
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,19
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,19
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,19
Apple,Apple,16,512,151900,,37%,4.7,2786,179,19
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,20
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,20
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,20
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,20
HP,Intel,16,512,93322,,37%,4.2,1016,45,20
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,20
Apple,Apple,16,512,151900,,37%,4.7,2786,179,20
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,20
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,20
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,20
HP,AMD,16,512,65387,,37%,4.1,26,1,20
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,20
Apple,Apple,16,512,151900,,37%,4.7,2786,179,20
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,20
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,20
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,20
Apple,Apple,16,512,127900,,37%,4.7,2786,179,20
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,20
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,20
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,20
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,20
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,20
Apple,Apple,16,512,151900,,37%,4.7,2786,179,20
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,21
HP,Intel,16,512,93322,,37%,4.2,1016,45,21
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,21
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,21
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,21
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,21
Apple,Apple,16,512,151900,,37%,4.7,2786,179,21
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,21
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,21
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,21
HP,AMD,16,512,65387,,37%,4.1,26,1,21
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,21
Apple,Apple,16,512,151900,,37%,4.7,2786,179,21
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,21
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,21
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,21
Apple,Apple,16,512,127900,,37%,4.7,2786,179,21
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,21
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,21
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,21
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,21
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,21
Apple,Apple,16,512,151900,,37%,4.7,2786,179,21
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,22
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,22
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,22
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,22
HP,Intel,16,512,93322,,37%,4.2,1016,45,22
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,22
Apple,Apple,16,512,151900,,37%,4.7,2786,179,22
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,22
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,22
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,22
HP,AMD,16,512,65387,,37%,4.1,26,1,22
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,22
Apple,Apple,16,512,151900,,37%,4.7,2786,179,22
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,22
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,22
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,22
Apple,Apple,16,512,127900,,37%,4.7,2786,179,22
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,22
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,22
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,22
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,22
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,22
Apple,Apple,16,512,151900,,37%,4.7,2786,179,22
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,23
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,23
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,23
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,23
HP,Intel,16,512,93322,,37%,4.2,1016,45,23
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,23
Apple,Apple,16,512,151900,,37%,4.7,2786,179,23
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,23
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,23
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,23
HP,AMD,16,512,65387,,37%,4.1,26,1,23
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,23
Apple,Apple,16,512,151900,,37%,4.7,2786,179,23
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,23
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,23
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,23
Apple,Apple,16,512,127900,,37%,4.7,2786,179,23
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,23
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,23
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,23
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,23
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,23
Apple,Apple,16,512,151900,,37%,4.7,2786,179,23
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,24
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,24
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,24
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,24
HP,Intel,16,512,93322,,37%,4.2,1016,45,24
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,24
Apple,Apple,16,512,151900,,37%,4.7,2786,179,24
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,24
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,24
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,24
HP,AMD,16,512,65387,,37%,4.1,26,1,24
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,24
Apple,Apple,16,512,151900,,37%,4.7,2786,179,24
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,24
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,24
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,24
Apple,Apple,16,512,127900,,37%,4.7,2786,179,24
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,24
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,24
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,24
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,24
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,24
Apple,Apple,16,512,151900,,37%,4.7,2786,179,24
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,25
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,25
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,25
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,25
HP,Intel,16,512,93322,,37%,4.2,1016,45,25
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,25
Apple,Apple,16,512,151900,,37%,4.7,2786,179,25
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,25
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,25
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,25
HP,AMD,16,512,65387,,37%,4.1,26,1,25
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,25
Apple,Apple,16,512,151900,,37%,4.7,2786,179,25
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,25
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,25
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,25
Apple,Apple,16,512,127900,,37%,4.7,2786,179,25
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,25
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,25
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,25
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,25
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,25
Apple,Apple,16,512,151900,,37%,4.7,2786,179,25
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,26
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,26
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,26
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,26
HP,Intel,16,512,93322,,37%,4.2,1016,45,26
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,26
Apple,Apple,16,512,151900,,37%,4.7,2786,179,26
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,26
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,26
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,26
HP,AMD,16,512,65387,,37%,4.1,26,1,26
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,26
Apple,Apple,16,512,151900,,37%,4.7,2786,179,26
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,26
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,26
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,26
Apple,Apple,16,512,127900,,37%,4.7,2786,179,26
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,26
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,26
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,26
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,26
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,26
Apple,Apple,16,512,151900,,37%,4.7,2786,179,26
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,27
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,27
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,27
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,27
HP,Intel,16,512,93322,,37%,4.2,1016,45,27
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,27
Apple,Apple,16,512,151900,,37%,4.7,2786,179,27
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,27
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,27
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,27
HP,AMD,16,512,65387,,37%,4.1,26,1,27
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,27
Apple,Apple,16,512,151900,,37%,4.7,2786,179,27
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,27
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,27
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,27
Apple,Apple,16,512,127900,,37%,4.7,2786,179,27
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,27
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,27
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,27
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,27
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,27
Apple,Apple,16,512,151900,,37%,4.7,2786,179,27
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,28
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,28
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,28
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,28
Samsung,Snapdragon,16,512,80990,"₹92,390",12%,4.4,3205,332,28
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,28
Apple,Apple,16,512,151900,,37%,4.7,2786,179,28
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,28
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,28
HP,Intel,16,512,93322,,37%,4.2,1016,45,28
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,28
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,28
Apple,Apple,16,512,151900,,37%,4.7,2786,179,28
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,28
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,28
HP,AMD,16,512,65387,,37%,4.1,26,1,28
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,28
Apple,Apple,16,512,127900,,37%,4.7,2786,179,28
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,28
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,28
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,28
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,28
Lenovo,AMD,16,512,55990,"₹59,090",5%,4.1,340,21,28
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,29
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,29
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,29
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,29
HP,Intel,16,512,93322,,37%,4.2,1016,45,29
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,29
Apple,Apple,16,512,151900,,37%,4.7,2786,179,29
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,29
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,29
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,29
HP,AMD,16,512,65387,,37%,4.1,26,1,29
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,29
Apple,Apple,16,512,151900,,37%,4.7,2786,179,29
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,29
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,29
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,29
Apple,Apple,16,512,127900,,37%,4.7,2786,179,29
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,29
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,29
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,29
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,29
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,29
Apple,Apple,16,512,151900,,37%,4.7,2786,179,29
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,30
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,30
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,30
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,30
HP,Intel,16,512,93322,,37%,4.2,1016,45,30
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,30
Apple,Apple,16,512,151900,,37%,4.7,2786,179,30
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,30
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,30
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,30
HP,AMD,16,512,65387,,37%,4.1,26,1,30
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,30
Apple,Apple,16,512,151900,,37%,4.7,2786,179,30
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,30
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,30
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,30
Apple,Apple,16,512,127900,,37%,4.7,2786,179,30
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,30
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,30
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,30
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,30
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,30
Apple,Apple,16,512,151900,,37%,4.7,2786,179,30
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,31
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,31
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,31
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,31
HP,Intel,16,512,93322,,37%,4.2,1016,45,31
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,31
Apple,Apple,16,512,151900,,37%,4.7,2786,179,31
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,31
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,31
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,31
HP,AMD,16,512,65387,,37%,4.1,26,1,31
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,31
Apple,Apple,16,512,151900,,37%,4.7,2786,179,31
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,31
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,31
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,31
Apple,Apple,16,512,127900,,37%,4.7,2786,179,31
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,31
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,31
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,31
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,31
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,31
Apple,Apple,16,512,151900,,37%,4.7,2786,179,31
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,32
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,32
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,32
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,32
HP,Intel,16,512,93322,,37%,4.2,1016,45,32
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,32
Apple,Apple,16,512,151900,,37%,4.7,2786,179,32
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,32
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,32
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,32
HP,AMD,16,512,65387,,37%,4.1,26,1,32
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,32
Apple,Apple,16,512,151900,,37%,4.7,2786,179,32
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,32
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,32
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,32
Apple,Apple,16,512,127900,,37%,4.7,2786,179,32
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,32
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,32
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,32
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,32
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,32
Apple,Apple,16,512,151900,,37%,4.7,2786,179,32
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,33
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,33
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,33
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,33
HP,Intel,16,512,93322,,37%,4.2,1016,45,33
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,33
Apple,Apple,16,512,151900,,37%,4.7,2786,179,33
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,33
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,33
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,33
HP,AMD,16,512,65387,,37%,4.1,26,1,33
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,33
Apple,Apple,16,512,151900,,37%,4.7,2786,179,33
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,33
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,33
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,33
Apple,Apple,16,512,127900,,37%,4.7,2786,179,33
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,33
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,33
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,33
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,33
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,33
Apple,Apple,16,512,151900,,37%,4.7,2786,179,33
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,34
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,34
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,34
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,34
HP,Intel,16,512,93322,,37%,4.2,1016,45,34
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,34
Apple,Apple,16,512,151900,,37%,4.7,2786,179,34
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,34
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,34
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,34
HP,AMD,16,512,65387,,37%,4.1,26,1,34
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,34
Apple,Apple,16,512,151900,,37%,4.7,2786,179,34
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,34
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,34
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,34
Apple,Apple,16,512,127900,,37%,4.7,2786,179,34
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,34
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,34
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,34
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,34
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,34
Apple,Apple,16,512,151900,,37%,4.7,2786,179,34
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,35
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,35
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,35
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,35
HP,Intel,16,512,93322,,37%,4.2,1016,45,35
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,35
Apple,Apple,16,512,151900,,37%,4.7,2786,179,35
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,35
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,35
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,35
HP,AMD,16,512,65387,,37%,4.1,26,1,35
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,35
Apple,Apple,16,512,151900,,37%,4.7,2786,179,35
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,35
