Brand,processor_name,RAM,Storage,Price,original price,discount,ratings,number_of_ratings,number_of_reviews,page number
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,4
Apple,Apple,16,512,151900,,37%,4.7,2786,179,4
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,5
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,5
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,5
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,5
HP,Intel,16,512,93322,,37%,4.2,1016,45,5
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,5
Apple,Apple,16,512,151900,,37%,4.7,2786,179,5
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,5
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,5
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,5
HP,AMD,16,512,65387,,37%,4.1,26,1,5
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,5
Apple,Apple,16,512,151900,,37%,4.7,2786,179,5
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,5
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,5
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,5
Apple,Apple,16,512,127900,,37%,4.7,2786,179,5
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,5
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,5
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,5
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,5
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,5
Apple,Apple,16,512,151900,,37%,4.7,2786,179,5
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,6
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,6
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,6
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,6
HP,Intel,16,512,93322,,37%,4.2,1016,45,6
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,6
Apple,Apple,16,512,151900,,37%,4.7,2786,179,6
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,6
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,6
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,6
HP,AMD,16,512,65387,,37%,4.1,26,1,6
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,6
Apple,Apple,16,512,151900,,37%,4.7,2786,179,6
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,6
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,6
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,6
Apple,Apple,16,512,127900,,37%,4.7,2786,179,6
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,6
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,6
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,6
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,6
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,6
Apple,Apple,16,512,151900,,37%,4.7,2786,179,6
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,7
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,7
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,7
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,7
HP,Intel,16,512,93322,,37%,4.2,1016,45,7
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,7
Apple,Apple,16,512,151900,,37%,4.7,2786,179,7
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,7
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,7
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,7
HP,AMD,16,512,65387,,37%,4.1,26,1,7
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,7
Apple,Apple,16,512,151900,,37%,4.7,2786,179,7
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,7
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,7
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,7
Apple,Apple,16,512,127900,,37%,4.7,2786,179,7
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,7
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,7
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,7
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,7
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,7
